tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,17.548,0.3419840437656714,0.1730128496200662,8.364,4.408,6.484
20,250,24.22,0.3893225433526011,-0.08360760895714267,15.888,6.644,11.532
30,250,31.788,0.4050157292059897,0.13551642793501154,23.104,7.84,15.684
40,250,39.64,0.4250728557013117,0.0530984985422178,31.628,8.72,20.308
50,250,47.584,0.437133154001345,0.020293284054653846,39.884,9.416,24.616
60,250,55.264,0.4396693688477127,0.056802522393662395,47.536,9.888,28.296
70,250,53.452,0.4859983536630996,0.14746004088744508,46.332,9.172,26.488
80,250,53.0,0.5190418113207547,0.023868189961288394,44.86,8.412,25.32
90,250,44.876,0.5292860326232285,-0.1016937417532061,37.328,8.052,21.536
100,250,38.256,0.500508573818486,0.2272583462930206,29.272,7.436,17.376
110,250,39.192,0.49286303327209624,0.08149620861232063,29.412,7.772,18.056
120,250,39.672,0.4913458358540028,0.15862238527067626,31.228,7.632,19.04
130,250,44.232,0.4971068909386869,0.3250065013972906,36.044,8.02,21.612
140,250,47.636,0.5102866739440759,-0.06859268200002286,39.288,8.412,23.376
150,250,44.748,0.5150946634486457,0.18591623748441008,40.408,8.404,22.96
160,250,45.204,0.5107056012742235,0.13567395415934197,40.088,8.436,22.864
170,250,45.624,0.5106091530773278,0.12674786409276215,37.468,8.024,21.336
180,250,45.196,0.5109715904062306,0.2565853886154527,36.78,8.172,21.032
190,250,44.268,0.5203646878106081,0.11598340206933562,35.064,8.132,20.584
200,250,45.836,0.509202199144777,0.20887935195805601,34.064,8.044,20.636
210,250,46.808,0.5041319432575628,0.019262669209131587,34.828,8.392,21.132
220,250,47.612,0.49004351844072924,0.038858893306178886,36.292,8.292,21.312
230,250,44.548,0.5125671186136302,0.19587012357380926,36.656,8.268,20.736
240,250,45.616,0.5009421255699755,0.23078124259525545,36.324,8.016,20.852
250,250,42.64,0.49668818011257043,0.32253567763934393,34.644,7.988,19.868
260,250,44.164,0.4890741780635812,0.23481737711284187,36.832,7.856,20.828
270,250,44.596,0.49018387299309363,0.3127572064619336,37.46,7.68,20.988
280,250,44.5,0.5055119101123595,0.05615118458708243,37.832,7.792,21.172
290,250,42.624,0.4772192192192193,0.1257745014518564,35.608,7.752,20.696
300,250,41.932,0.4873952112944768,0.09838269329439485,34.988,7.612,20.652
310,250,41.764,0.47766114356862377,0.27731320915698776,33.812,7.7,19.972
320,250,46.968,0.4849170499063191,0.07964789012842928,38.2,8.5,22.792
330,250,46.816,0.48060970608339026,0.016329876057047606,39.248,8.388,22.972
340,250,46.704,0.47426584446728337,-0.07142023252546537,36.816,8.428,22.328
350,250,49.976,0.48423563310388995,0.09964738970469349,40.776,8.544,24.588
360,250,48.172,0.5121185751058706,0.2604967618481146,39.768,8.472,23.384
370,250,45.936,0.5193869731800766,-0.02876173709398787,35.14,8.108,21.852
380,250,43.256,0.5044986129091917,0.31193692553480595,33.092,7.708,20.088
390,250,41.764,0.4934458385212144,-0.011272255300530805,31.6,8.24,19.764
400,250,43.88,0.4879752051048314,0.1891464712865952,33.816,8.104,20.516
410,250,45.672,0.4855855666491504,0.21830601675356334,35.248,8.0,20.7
420,250,46.852,0.4719299923162299,0.10447650453021737,36.156,8.028,20.916
430,250,51.936,0.4755976586568085,0.0959902078644083,40.576,8.56,23.156
440,250,50.572,0.49307822510480115,0.17348931772022197,38.816,8.236,23.492
450,250,51.644,0.5057662458368832,0.10032577110063827,39.688,8.448,23.392
460,250,48.064,0.5100592543275633,0.24361344374998756,36.7,7.888,21.872
470,250,48.812,0.5055999344423503,0.227613280732396,37.048,8.36,21.788
480,250,44.468,0.4987046865161464,0.313930376864126,34.772,7.7,19.804
490,250,46.216,0.4834467716808031,0.17150680286401215,38.368,7.56,21.168
500,250,45.868,0.474437952385105,0.1692591953292222,36.604,7.664,21.248
