tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
370,500,19.042,0.41958344711689954,0.07094175076500202,29.928,7.51,16.252,8983.324044388966,17.966648088777934,1.0,13.890802523650901,0.38071331907550254,11.126505862237753,0.123147607951409,15.754098353740178,1.0,0.36975008141525983,15.93013525293935,14.274920918271155,125.475097130865,1.0
380,500,18.76,0.4207859275053305,0.11990486163385415,29.596,7.486,15.85,8776.248395772127,17.552496791544254,1.515716566510398,13.522822381216264,0.38615547919796245,10.774503981884784,0.12414390635355599,15.373461273583692,1.0,0.3639792688393131,15.45233996472582,13.645880225673922,139.82489048806727,1.515716566510398
390,500,19.306,0.42915591007976794,0.08171918014264393,29.836,7.452,16.078,8888.312300322574,17.776624600645146,1.0,13.662570645045756,0.38917242034499444,10.858452579247704,0.1237111057379987,15.577458715010025,1.0,0.36656921397595543,14.913032801493829,13.591296607158739,105.79697538209682,1.0
400,500,18.072,0.411634351482957,0.020340589575746523,28.586,7.062,15.238,8389.14342873398,16.77828685746796,1.0,13.071434390386695,0.3769529027957055,10.453662922606378,0.1177353016577185,14.802890193004236,1.0,0.3513013373938228,13.848237179552118,12.999999999999996,114.4727041700335,1.0
410,500,18.84,0.4080832271762207,0.02582846710603894,27.672,6.852,15.218,8629.317584571047,17.258635169142092,1.0,13.570054556561661,0.37303801584753127,10.820508149408903,0.11556180655983828,15.264196110238872,1.0,0.3387387527786049,14.413118038726152,13.714610497343035,121.89749792346026,1.0
420,500,18.894,0.414996295120144,0.031528620798960745,28.458,7.224,15.572,8772.463970180124,17.54492794036025,1.762340347832317,13.691945491987738,0.3780223332619346,10.91255334343276,0.11830927721349538,15.469200196973368,1.0,0.3471556443060958,14.557302333036,13.932586169752028,108.67842472174502,1.762340347832317
430,500,19.414,0.41292860822087163,0.05861173249083088,28.084,6.88,15.166,9008.58400156873,18.01716800313746,1.0,13.827747678919563,0.3824297179606597,11.126867525247778,0.12300076131174953,15.801042622069858,1.0,0.3428485946090209,15.072211531621395,14.110214205313735,119.0042016064979,1.0
440,500,19.654,0.4185197924086701,0.13394956095757882,28.638,7.188,15.112,8986.030403720375,17.97206080744075,1.515716566510398,13.986118013609982,0.3799529016269707,11.14352415543728,0.119248632291723,15.828917136689762,1.0,0.3504558094675474,14.86826499038791,13.686228828729833,96.4831591522583,1.515716566510398
450,500,20.35,0.4302016707616707,0.09420924790645835,30.788,7.404,16.014,9261.440274857141,18.522880549714284,1.2599210498948732,14.273171259182947,0.3859403268360333,11.37415397641275,0.12325157618846772,16.239906326411287,1.0,0.37550950391043453,15.5940647790755,14.221136088809388,110.0,1.2599210498948732
460,500,21.816,0.4466934360102677,0.04346703902763565,33.632,8.08,17.306,9735.661444255518,19.471322888511036,1.0,14.666647194123534,0.4031782151539396,11.620909679635105,0.13339480640630008,16.873949541323547,1.0,0.4116078359431793,17.126501138895573,14.491376746189438,112.98229949863827,1.0
470,500,21.584,0.43640474425500364,0.05685846937128346,32.352,7.708,16.7,9925.249215492931,19.850498430985862,1.0,14.934519994114895,0.4045737779804557,11.819507285966804,0.13465077951388382,17.177613343514487,1.0,0.3971615970846508,17.69776509441681,15.193289525067005,125.93649193144932,1.0
480,500,21.518,0.44607472813458493,0.08534052026285832,32.17,7.518,16.636,9815.41655850066,19.63083311700132,1.615394266202178,14.746910873066776,0.40404501785667746,11.699092799701067,0.13490095472138997,16.982614987541563,1.0,0.3916813944719304,17.575461304490773,14.518971784232019,105.47511554864494,1.615394266202178
490,500,20.628,0.4355082412255187,-0.020674771326218245,31.166,7.412,16.238,9528.077443003906,19.05615488600781,1.0,14.499463477029549,0.3961018000520389,11.507977633589661,0.1291832964106221,16.59441798092194,1.0,0.3775800260849618,16.741646239517546,14.111818705873763,110.99549540409286,1.0
500,500,20.558,0.43874793267827616,0.01112574888564846,31.942,7.58,16.67,9587.70922678373,19.17541845356746,1.0,14.454700623225687,0.4003925279051723,11.497724185304094,0.1318703210416795,16.646749865986973,1.0,0.38521941000249094,16.73694206049095,14.484095444333427,115.71516754514076,1.0
