tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,18.428,0.3601849359670066,0.1911961831932076,8.356,4.604,6.404
20,250,25.968,0.38934319162045594,0.12062667442109348,15.696,6.284,11.168
30,250,34.0,0.40126117647058823,0.13908611332505272,23.596,7.52,15.836
40,250,41.804,0.42001454406276917,0.1438604167772275,32.276,8.632,20.6
50,250,50.424,0.42052800253847367,0.017269994622826405,40.956,9.156,25.136
60,250,57.98,0.4283090720938254,0.2386991543583597,49.856,10.056,29.468
70,250,61.284,0.4600569153449514,-0.007473043085693243,52.136,9.692,30.076
80,250,53.728,0.5232245384157237,0.31258086470086816,46.624,8.3,26.156
90,250,47.368,0.5519662219219725,0.19358002589975232,37.82,7.308,21.032
100,250,33.86,0.5151040756054341,0.10457142104663784,24.776,6.176,14.456
110,250,34.036,0.47704736161711137,0.10289775521077708,25.432,7.14,15.76
120,250,37.216,0.4729707652622528,0.25299660245108363,30.428,7.72,18.32
130,250,43.232,0.46737009622501846,-0.03990756072964985,36.08,8.656,21.3
140,250,43.976,0.47934728033472807,0.02348679240678897,37.82,8.388,22.248
150,250,46.564,0.5036491710334163,0.04838134236615356,40.528,8.712,23.572
160,250,48.728,0.5117583319651946,0.032541896125595285,41.352,8.516,23.656
170,250,48.252,0.5191408439028433,0.0564306359350497,38.176,8.2,22.404
180,250,43.544,0.5114664706963072,0.10972364216062756,34.92,7.824,20.504
190,250,42.488,0.48988439088683866,0.1355583408797384,33.092,7.624,19.316
200,250,45.42,0.4847961250550419,0.20957516711581095,34.324,8.12,20.468
210,250,48.808,0.4650345844943451,0.22078446007831531,36.724,8.576,21.64
220,250,46.844,0.47851592519853137,0.06671113773314855,37.372,8.156,20.948
230,250,48.012,0.4906683329167707,0.3145919555320122,39.484,8.356,22.52
240,250,49.904,0.4890823982045527,0.20197277394489582,40.84,8.1,23.292
250,250,46.068,0.5125136754363115,0.035144399266966025,37.8,7.944,22.148
260,250,43.46,0.5145111826967326,0.16758841075413744,34.732,7.516,20.92
270,250,42.972,0.507620962487201,0.04606580225468908,36.496,8.468,22.288
280,250,37.604,0.4868422508243804,0.2264687518161196,33.588,7.992,20.564
290,250,36.856,0.4674477968309094,0.21423347242229687,32.812,7.804,19.94
300,250,40.38,0.47097731550272415,0.026091905917621016,34.036,7.876,20.456
310,250,44.604,0.4869328311362209,0.19817726812592118,37.06,8.212,22.22
320,250,44.16,0.4961782608695653,0.26945782738400803,36.332,7.84,21.596
330,250,45.548,0.49919908667779045,0.1517219524608334,36.592,7.792,21.58
340,250,44.212,0.49541337193522117,0.20893819388467186,34.164,7.304,20.504
350,250,45.696,0.49912815126050414,0.05758972830298964,35.448,7.24,21.076
360,250,43.952,0.4860684382963232,0.11470048483088459,35.824,7.68,20.944
370,250,44.072,0.4828099473588674,0.0593508809010171,35.92,8.116,20.816
380,250,44.724,0.5002282443430821,0.09115485439000774,35.86,7.776,20.768
390,250,49.228,0.4978847810189324,0.11305407044968874,39.528,8.564,23.416
400,250,46.468,0.49406731514160285,0.05550911601022806,38.388,8.58,22.812
410,250,43.576,0.513669175693042,0.02490612414268423,36.176,8.112,21.776
420,250,42.668,0.4977065716696354,0.15907847612216428,36.456,8.26,21.52
430,250,44.1,0.48381641723356017,-0.00928940703796312,37.732,8.388,21.688
440,250,44.16,0.5005181159420289,0.1959710542973373,36.696,8.008,21.052
450,250,44.636,0.4867529348507931,0.03414373658859164,35.776,8.076,20.804
460,250,43.132,0.496171009923027,0.22439223736664113,33.188,7.844,19.48
470,250,44.36,0.48858070333633896,0.21627740419533104,35.184,8.3,20.796
480,250,49.012,0.4874571125438667,-0.061715510383198634,37.196,8.544,22.564
490,250,45.832,0.5024444056554374,0.12460757377623846,33.408,8.016,21.188
500,250,47.408,0.4989456631792102,0.21041857713304202,34.348,7.856,21.712
