tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,15.092,0.3362279353299762,0.18788841067602358,7.132,4.704,5.852
20,250,18.252,0.3723909708525093,-0.009611299000600097,12.84,7.196,10.104
30,250,21.584,0.40310303928836166,0.013714772137881982,19.044,8.868,14.08
40,250,25.696,0.4229626400996265,-0.09092906713069171,25.064,9.352,17.348
50,250,31.352,0.42298137279918335,0.028224749889552467,32.516,9.96,21.352
60,250,35.78,0.43022336500838465,0.14645077156369582,38.9,10.712,23.992
70,250,38.08,0.43823697478991597,0.10782750784072968,42.548,10.58,25.372
80,250,37.636,0.45486959294292695,0.0294314123071326,39.544,9.18,23.328
90,250,34.324,0.4738594569397505,0.10838526621032385,35.532,8.624,21.328
100,250,30.492,0.474025974025974,0.029278021847888466,30.24,8.104,18.18
110,250,27.028,0.4702956933550393,-0.02866982444170745,28.368,7.404,16.828
120,250,26.452,0.45087494329351285,0.23898060247876068,26.296,6.936,16.032
130,250,27.596,0.4649015799391216,0.1847172426463711,27.844,7.608,17.052
140,250,28.924,0.4599159175770986,0.02143083855871115,31.204,8.32,18.668
150,250,31.248,0.47362416794674855,0.0898810227850771,33.952,8.668,19.644
160,250,33.32,0.4775548619447778,-0.018608473855346763,35.64,9.164,20.432
170,250,32.076,0.48264421997755336,0.06332794979479532,36.544,8.984,20.736
180,250,31.588,0.46561732303406367,-0.2881452369827771,34.84,8.536,19.812
190,250,31.116,0.4775878647641085,0.17402064657595007,31.46,7.816,18.12
200,250,30.34,0.48673170731707316,-0.005821812712591529,31.508,8.5,18.52
210,250,28.836,0.47608655846858094,0.18950398671721044,31.88,8.548,18.948
220,250,29.956,0.45992201896114304,0.10591720459707979,32.852,8.76,19.592
230,250,29.152,0.4556597145993413,0.18682931412289883,32.336,8.572,18.752
240,250,28.324,0.48042423386527333,0.2326224124102433,31.428,8.268,18.084
250,250,27.66,0.49124454085321756,0.1832183268229471,33.24,9.16,19.316
260,250,27.6,0.47796057971014494,0.1617390522663804,31.52,8.98,19.36
270,250,27.208,0.4557047927080271,0.024571370760172684,30.112,9.096,18.536
280,250,27.336,0.47178811823236755,0.19311849324510846,32.772,9.348,20.236
290,250,27.324,0.4558178890352804,-0.051521673636091274,29.372,9.012,19.368
300,250,27.316,0.4625737296822374,-0.07850086301857917,31.084,9.164,20.012
310,250,27.696,0.444157134604275,0.36752397864552916,29.932,8.928,19.34
320,250,28.704,0.4518885172798217,0.044372475750388544,31.608,9.16,19.84
330,250,29.508,0.4403963670868918,-0.1305599073525729,32.88,9.232,20.552
340,250,27.82,0.45778576563623297,0.16920170072784357,32.032,8.676,19.432
350,250,27.276,0.4452893386126997,0.12034352951901377,32.284,8.268,19.06
360,250,27.128,0.4589124152167503,-0.002048370411331328,31.956,8.904,19.316
370,250,26.768,0.4430579796772265,0.38671112903926824,31.652,8.692,18.696
380,250,27.192,0.4434021771109149,0.08359831168804763,31.376,8.792,18.532
390,250,26.884,0.44164558845409907,0.2123729971050311,30.016,8.56,17.748
400,250,28.56,0.4496526610644258,0.0006736862535965923,30.36,8.204,18.192
410,250,29.24,0.4691009575923393,-0.011579923385389325,31.132,8.352,18.884
420,250,29.136,0.46745085118066987,0.04878143069246022,29.936,7.484,18.104
430,250,27.784,0.45087820328246475,0.028524332660946863,30.044,8.052,18.424
440,250,29.344,0.46619411123227916,-0.0300183292012324,32.876,7.996,19.976
450,250,28.14,0.4622049751243782,-0.030657991087614803,31.784,8.264,19.512
460,250,27.244,0.463192482748495,-0.036447781024899206,32.596,7.9,19.192
470,250,28.46,0.4528084328882642,0.02421628499183296,32.304,7.924,19.072
480,250,28.176,0.46483361726291883,0.14638490516516683,31.248,7.904,18.42
490,250,28.012,0.45440811080965293,-0.05105436405824659,30.688,8.216,18.284
500,250,28.812,0.4568546438983756,0.40930286410690375,32.388,8.104,18.596
