tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
10,100,11.9,0.30848739495798316,0.009968392900559203,4.62,0.28,1.29,1104.132317557996,11.04132317557996,1.3195079107728942,9.542544407961493,0.2691866297053558,8.069146602457954,0.06369434759853332,10.338053299286829,1.0,0.05889936241068447,5.186848945974167,11.188647021963044,22.978250586152114,1.3195079107728942
20,100,12.15,0.34525925925925915,-0.18608419495118994,5.84,0.34,1.37,1136.3117046166026,11.363117046166026,1.0,9.56098291159026,0.29605084806718907,7.999056607961842,0.07490915772337892,10.51191551912556,1.0,0.07363449022831454,5.875647109248163,9.932671226767901,23.916521486202797,1.0
30,100,13.7,0.27559124087591247,0.27173552029840825,7.3,0.37,1.41,1171.535470287907,11.71535470287907,1.4142135623730951,10.337306299116886,0.25590301627000733,8.7173600977393,0.055679727139469226,11.063046949680666,1.0,0.09148748423690233,5.243927731896573,11.405348516186157,23.916521486202797,1.4142135623730951
40,100,11.61,0.33478897502153315,-0.11443995361323318,9.73,0.55,1.59,1065.7567602289787,10.657567602289786,1.6265765616977856,8.993516349526788,0.2976411025060415,7.485437431111586,0.07490584568300518,9.859253488116472,1.0,0.12126877479264805,5.6111563293122035,10.629327423454981,24.919871588754223,1.6265765616977856
50,100,12.17,0.3179704190632704,0.4007415399588412,10.94,0.43,1.44,1142.902915884167,11.42902915884167,1.4422495703074083,9.699720795740143,0.28716075411381436,8.147060526799923,0.07141407020757184,10.612835668087765,1.0,0.1381493080406804,5.727869454265023,11.574367638944992,24.919871588754223,1.4422495703074083
60,100,13.27,0.3050113036925395,-0.17192693021777836,14.24,0.64,1.67,1232.2636119142892,12.322636119142892,2.7144176165949063,10.813733574238714,0.2675828026825613,9.025310609945278,0.05928349990327597,11.59210712196558,1.0,0.1793979572488373,5.766923011939402,12.449834821393825,24.919871588754223,2.7144176165949063
70,100,13.67,0.2917264081931237,-0.1739867598231092,17.17,0.76,1.83,1296.9826475200368,12.96982647520037,2.0000000000000004,11.480542090768237,0.2560951727623706,9.648316523335962,0.055055106626310746,12.255771295683465,1.0,0.21578509504242852,5.808013495480697,13.180697788670894,25.92296279363144,2.0000000000000004
80,100,13.24,0.31069486404833846,0.35072781133145137,19.29,0.83,1.9,1267.7290123886644,12.677290123886644,1.0,10.917794759593265,0.27421565342026777,9.20097872896676,0.06492257311636207,11.85424782890128,1.0,0.24095730609733693,6.092094595297919,12.619230114598771,25.98076211353316,1.0
90,100,14.49,0.27535541752933046,-0.22494669068602005,19.82,0.84,1.91,1312.4120961728463,13.124120961728464,2.0,11.327046554951794,0.2701224249383647,9.579001582361949,0.0639788669297614,12.284454573147945,1.0,0.24847478904029402,6.190004348601903,12.844701729086786,26.981475126464083,2.0
100,100,13.72,0.2857142857142858,-0.18279606341027982,15.1,0.61,1.65,1295.249292040887,12.95249292040887,1.615394266202178,11.528836054916454,0.2418741821677861,9.819619288250935,0.051361986529395165,12.287227153508743,1.0,0.19351386981323657,5.519728268275245,13.01920240520265,27.982137159266443,1.615394266202178
