tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,18.656,0.34204631217838766,0.3226869009090782,8.372,4.412,6.304
20,250,25.628,0.4020259091618543,0.2954639147335619,15.804,5.94,11.136
30,250,34.436,0.40069648042745953,0.14034845785515584,22.076,6.816,14.988
40,250,43.248,0.4051513133555309,0.13241479704076276,30.496,8.156,19.86
50,250,51.928,0.41441565244184253,0.0700265363159852,39.356,8.836,24.488
60,250,59.94,0.42227160493827154,0.014500458231765604,46.744,9.164,27.808
70,250,60.928,0.4670882352941177,0.17329737552697866,47.904,8.64,27.7
80,250,54.548,0.5207506049717681,0.0741208042108316,42.772,8.236,24.632
90,250,48.74,0.5588572835453427,0.15260054828773226,37.58,7.896,22.808
100,250,34.976,0.4992232387923148,0.1025619814106724,25.256,6.632,16.2
110,250,37.208,0.4613691679208771,0.023080157306353762,27.524,7.76,17.86
120,250,41.276,0.4675650741350905,0.05855373878967839,32.96,8.5,20.632
130,250,44.696,0.4527238231609092,0.06312640055733013,36.896,8.916,22.612
140,250,50.012,0.45713476765576266,-0.050954710949728865,41.444,9.3,24.836
150,250,51.376,0.47764808470881337,0.19586321806298812,43.216,8.904,25.232
160,250,51.048,0.5006187118006582,0.17127003504268346,41.3,8.576,23.952
170,250,45.468,0.516836104513064,0.2095644258284548,36.184,7.828,21.008
180,250,44.552,0.5164991919554678,0.12598144367453526,34.156,7.54,19.984
190,250,43.248,0.5202611912689603,0.23541992698265313,31.512,7.608,19.216
200,250,39.972,0.5042837986590614,0.001484225156378011,30.932,7.84,19.168
210,250,43.772,0.4887401992141094,0.03225712849234565,35.044,8.404,21.28
220,250,43.224,0.48971534332778077,0.1549557966232338,35.456,8.04,21.48
230,250,45.996,0.48999773893382037,0.08092944557359784,37.98,8.328,21.996
240,250,48.376,0.4962374731271706,0.006974413669241268,41.304,8.476,23.372
250,250,48.5,0.49755216494845356,0.1744565895603266,39.932,8.32,23.036
260,250,46.28,0.5175937770095074,0.04836588615429685,37.592,8.048,21.46
270,250,41.14,0.49754205153135644,0.03359478161595872,33.812,7.488,19.692
280,250,39.724,0.503748263014802,0.07576407684422373,35.048,7.852,20.232
290,250,41.94,0.4863195040534096,0.13384543667642204,35.928,7.876,21.172
300,250,41.748,0.47561061607741695,0.03968036127261233,36.528,7.956,21.088
310,250,43.956,0.49546091546091553,0.24041468487876538,37.844,7.952,21.812
320,250,45.132,0.4951225737835683,0.05836005938181805,35.9,7.42,20.4
330,250,47.352,0.5067551951343132,0.328180208519655,38.248,7.808,21.432
340,250,47.408,0.5109227134660816,0.27522370075277386,38.72,7.628,21.164
350,250,42.528,0.5024973664409331,0.44885729935414304,33.82,7.32,19.308
360,250,43.484,0.4923723668475761,0.18728421095941739,34.056,7.272,19.568
370,250,44.148,0.47336305155386427,0.1701275444232008,35.084,7.62,20.584
380,250,45.088,0.49142583392476924,0.10756540504857935,35.948,7.336,20.892
390,250,45.308,0.4824899796945352,0.18043396907143675,36.864,7.52,21.076
400,250,48.388,0.49065024386211453,0.2881804093109194,40.092,8.012,22.64
410,250,48.54,0.4833117428924598,0.10199243592639494,38.632,7.848,21.604
420,250,49.96,0.49344947958366703,0.10279273255957563,41.004,7.808,22.656
430,250,48.136,0.49938042213727774,-0.007855756309893883,38.796,7.6,21.644
440,250,46.692,0.5004194294525828,0.20806113039696889,36.86,7.392,20.868
450,250,46.524,0.5027457656263434,0.011074147552767921,37.432,7.496,21.404
460,250,45.268,0.509268887514359,0.18369415341933248,37.832,7.66,21.08
470,250,45.356,0.49996331246141645,0.2893845152122125,37.132,7.484,21.104
480,250,43.772,0.5179044137804989,0.19933332952002686,34.996,7.352,19.792
490,250,46.016,0.5150006954102921,0.12996601935984226,36.452,7.492,20.456
500,250,43.956,0.5004324324324325,0.25892186128029204,35.16,7.72,20.132
