tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration,utilitarian_welfare,average_welfare,rawlsian_welfare,nash_welfare,welfare_gini,gini_adjusted_welfare,atkinson_index_05,atkinson_adjusted_05,survival_rate,mean_lifespan_utilization,welfare_std,welfare_median,welfare_max,welfare_min
10,100,17.29,0.28587044534412964,0.16003806972430384,7.88,8.06,7.62,1529.858677275412,15.29858677275412,1.0,12.95787922913395,0.2853837789469187,10.932618266998205,0.07090667161061737,14.21381490435191,1.0,0.09848552864599887,7.6524885140384,14.729500441934007,32.46536616149585,1.0
20,100,19.95,0.34688220551378435,-0.22531911787839567,14.68,10.19,12.51,1837.198998718311,18.37198998718311,1.0,14.535710475557336,0.3451327817623693,12.031213976396208,0.10013903869321306,16.53223657098526,1.0,0.18504524056869973,11.542716499139958,14.33498409600716,48.47679857416329,1.0
30,100,24.15,0.37073706004140794,-0.19243721297027874,21.9,11.15,17.12,2239.9742192606423,22.39974219260642,2.924017738212866,17.745880007481595,0.36806752240783003,14.155124581199642,0.10681140069970596,20.007194353701827,1.0,0.27919336038250625,15.418020763974368,15.825149115143223,65.99242380758567,2.924017738212866
40,100,28.53,0.39712232737469333,0.13077666525273496,30.74,12.16,22.05,2669.772687198084,26.69772687198084,1.0,19.714591093938235,0.39929427956123953,16.037477254710506,0.12986657313182626,23.23058457270722,1.0,0.3904160282789006,19.704766469026346,21.34551381465343,81.49846624323675,1.0
50,100,32.95,0.4181456752655539,-0.1772489341015827,38.4,12.58,25.64,3127.8130075539098,31.278130075539096,2.620741394208897,22.699906427043473,0.4152793099547232,18.288969801095146,0.13940298586535127,26.9178653507241,1.0,0.4872689056833851,24.039246850839902,22.353157047119456,96.99999999999999,2.620741394208897
60,100,37.88,0.4307338965153116,0.011988156144219424,45.85,12.92,28.4,3648.8217680951984,36.48821768095198,4.242640687119285,26.387087930922867,0.42069835601010275,21.13768448883672,0.14235307156572485,31.29400781810968,1.0,0.579312871913025,28.327683016747393,24.996194361868092,112.49888888340188,4.242640687119285
70,100,38.27,0.4616644891559969,0.08108245161002704,46.04,12.51,27.47,3666.965556509616,36.66965556509616,3.7606030930863934,25.44744702825529,0.44701799361953665,20.277659707667397,0.16010887608865143,30.79851822601065,1.0,0.55653582754082,30.985292522831188,21.954622342878473,122.00000000000001,3.7606030930863934
80,100,37.96,0.48505795574288735,0.33960417767171447,40.9,12.64,25.16,3582.056589635189,35.820565896351894,1.0,22.782142043800622,0.4734755079335393,18.860405264109865,0.18591483880120518,29.160991161963683,1.0,0.473316482826956,32.341119468630424,19.36912762144608,134.27211177307072,1.0
90,100,35.21,0.4621272365805169,0.14366109106034644,37.86,11.95,23.91,3382.000317488347,33.82000317488347,1.4142135623730951,23.041722927002397,0.4577905865733525,18.33752408354092,0.16829478874902104,28.128272885075233,1.0,0.4355623366195559,30.40134251498784,20.537939120428465,147.99999999999997,1.4142135623730951
100,100,29.17,0.4638361330133698,0.06495818412683814,27.99,10.83,19.03,2660.5500531632033,26.605500531632032,3.7325111568172478,19.189547514801795,0.43605411247642567,15.004062610320155,0.15102460516053617,22.58741531874387,1.0,0.3367817663058318,24.097526882372932,17.823311927425166,125.86756472121095,3.7325111568172478
