tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,18.044,0.34125914431389925,0.271181682161006,8.34,4.936,6.536
20,250,25.192,0.3827411876786282,0.0010959094120736067,15.324,6.228,11.12
30,250,33.588,0.3863165416220078,0.09708448905959435,22.252,7.576,15.56
40,250,42.1,0.39415904988123507,0.07177389220662651,30.724,8.6,20.212
50,250,50.792,0.3983367459442433,0.01923127087709786,39.512,9.52,24.86
60,250,57.876,0.4128641924113623,0.045664714149677384,47.308,10.156,28.656
70,250,58.932,0.460537025724564,0.11076552994357367,46.428,9.72,27.924
80,250,57.94,0.47812854677252337,0.10244515446417812,44.416,9.144,26.64
90,250,48.404,0.5122383274109579,0.4174336154718864,36.276,7.648,21.62
100,250,37.712,0.5017225286380993,0.06109421423133114,27.26,6.612,17.12
110,250,39.036,0.4950568705810021,0.21722569285350252,28.364,7.268,18.128
120,250,43.244,0.46588363703635194,0.10724801556831969,32.724,8.196,20.472
130,250,47.848,0.46134760073566294,0.23861790789400927,37.716,9.008,23.556
140,250,52.62,0.4659201824401369,0.09047247148064337,40.92,9.268,25.292
150,250,51.176,0.48174581835235264,0.15598947982057654,40.84,8.46,24.16
160,250,49.344,0.48756031128404675,0.10982133843568166,39.76,8.264,23.824
170,250,46.664,0.4939550831476085,-0.0012003827503573891,37.072,7.976,22.112
180,250,43.636,0.5048877073975617,0.27480732175229633,33.028,7.052,19.976
190,250,40.16,0.506198406374502,0.1424274545412573,31.74,6.984,19.124
200,250,40.376,0.49468040420051507,0.20305851549154294,31.8,7.3,18.964
210,250,42.948,0.4765685014436063,0.32033451067785784,34.444,7.748,20.204
220,250,45.88,0.47969311246730606,0.19684931718262572,38.06,8.184,21.928
230,250,47.04,0.4932054421768708,0.2572329322380725,38.564,8.464,22.528
240,250,46.24,0.5022498269896194,0.2221110723071759,37.836,8.364,22.052
250,250,46.384,0.5046878233873751,0.1314205377122489,37.876,8.2,21.804
260,250,41.664,0.5168809523809523,0.11078996853643047,36.036,7.588,20.148
270,250,43.776,0.5239459064327485,-0.07715888308758405,36.764,7.556,20.768
280,250,42.224,0.5120174308450169,0.08246617269080189,33.64,7.296,19.26
290,250,45.404,0.5135797727072504,0.06609023506898563,35.64,7.64,20.82
300,250,44.756,0.4966223969970507,0.15458763434092193,36.46,7.5,21.084
310,250,44.092,0.48921019686110867,0.14231908243321914,36.712,8.192,21.436
320,250,46.004,0.48106321189461787,0.09963443578315036,36.54,8.58,21.468
330,250,47.368,0.4780314136125654,-0.007635290091480889,35.764,8.208,21.72
340,250,47.48,0.47414052232518955,0.2778024452685384,35.308,8.104,22.128
350,250,48.416,0.46617448777263704,0.19812771067129828,36.832,8.144,22.732
360,250,48.404,0.47979803322039505,0.18939386252075777,37.636,8.024,22.856
370,250,49.152,0.49004817708333337,0.08344240366001383,38.388,8.396,23.108
380,250,51.908,0.48959759574632034,0.2090445497563596,40.584,8.528,23.824
390,250,47.048,0.49458187383098107,0.2397811765777277,37.46,8.276,22.0
400,250,42.96,0.5114204841713221,0.3246722468422251,34.532,7.724,20.332
410,250,44.2,0.5168854298642533,0.13153892528192607,35.252,8.288,21.124
420,250,44.848,0.4962126293257225,0.22971608923263748,35.972,8.292,21.308
430,250,45.932,0.4869776190890882,0.09320780713970633,37.408,8.664,22.368
440,250,47.324,0.4832656580170738,0.10512274222240822,37.972,8.532,22.532
450,250,47.32,0.46659949281487734,0.13149235370168535,38.56,8.184,22.688
460,250,44.724,0.46752848582416595,0.16220011375265153,36.78,7.808,21.156
470,250,45.172,0.48111254759585576,0.02987607304437964,37.352,8.016,21.576
480,250,47.112,0.48951672609950747,0.05605695168040378,38.04,7.948,21.932
490,250,43.784,0.49166892015348074,0.2154559966223006,36.7,7.652,20.776
500,250,45.048,0.4889589770911029,0.2665284167330035,37.512,7.884,21.632
