tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,14.368,0.32174610244988866,-0.12641400582188397,6.548,4.06,5.236
20,250,17.34,0.3710182237600923,0.03695330128953559,12.0,5.9,9.052
30,250,21.48,0.3890651769087523,0.11299518111581633,18.44,6.928,12.976
40,250,25.628,0.4154874356172935,0.3184577859094423,25.216,7.848,16.704
50,250,29.892,0.4422678977652883,0.007274221269005386,32.628,9.052,20.332
60,250,34.1,0.4581700879765396,0.022504344178800425,40.504,9.872,24.14
70,250,35.512,0.4634701509348953,-0.06417777412579335,43.36,9.48,24.872
80,250,34.036,0.4895696321541896,0.07377394557762712,40.576,8.948,22.78
90,250,32.78,0.5108436851738865,0.0077964703261715245,36.932,8.208,20.792
100,250,26.304,0.48946472019464715,0.2707260253092206,26.832,7.736,16.256
110,250,25.656,0.48079201746180233,0.07818251873587237,24.836,7.724,15.504
120,250,26.212,0.45649870288417516,0.15582147535542903,24.708,7.608,15.412
130,250,27.536,0.45411156304474143,0.21974041774024644,27.092,8.06,17.044
140,250,27.88,0.47904045911047355,0.03152765994995658,30.14,8.04,18.584
150,250,31.276,0.46934748689090666,0.051513948292031,34.372,8.604,20.66
160,250,31.576,0.4731249049911326,0.21419884201825382,34.384,8.268,19.932
170,250,31.528,0.4841065719360569,0.12972485616938428,35.54,8.1,20.32
180,250,31.632,0.47391502276176034,0.052426418269777224,32.92,7.588,18.796
190,250,30.436,0.48671993691680915,0.236847145873495,31.92,7.368,18.344
200,250,29.888,0.4945117773019272,0.0716116824259669,30.652,7.468,17.304
210,250,29.04,0.48425013774104686,0.37700137705021,31.428,7.944,17.844
220,250,29.804,0.4847988189504764,0.08379511308957342,31.008,8.04,17.976
230,250,29.908,0.4921701217065668,-0.11538317844302136,32.396,8.308,18.996
240,250,29.736,0.47075490987355395,-0.05306862884510295,33.04,8.52,19.544
250,250,28.116,0.4699951628965713,0.0476715914366673,33.024,8.296,19.344
260,250,26.956,0.47808695652173916,0.15183938219550838,31.424,8.28,19.04
270,250,26.044,0.4501102749193673,0.23584833785465953,29.948,8.268,18.152
280,250,26.408,0.4398654953044532,0.21083545636535297,29.196,7.964,17.692
290,250,26.48,0.45815468277945626,0.33360771229651953,28.86,7.904,17.976
300,250,27.016,0.4611003849570625,0.112737285522268,30.768,8.856,19.336
310,250,28.44,0.46247088607594944,0.18016786044673797,33.028,9.496,20.208
320,250,28.828,0.4835759678090745,0.12392011585997413,32.572,9.356,20.296
330,250,28.392,0.4907173851789237,-0.019783560440806557,32.596,9.172,20.448
340,250,28.276,0.47507766303579,-0.18685508878476104,31.54,9.184,19.68
350,250,28.1,0.4703925978647687,-0.13871990032175058,31.244,9.32,19.42
360,250,28.068,0.4706906085221605,0.0246076751771474,30.504,9.1,18.628
370,250,28.476,0.46555583649388965,0.0015172694086848597,30.068,9.192,18.672
380,250,28.644,0.4591207931853094,0.08827250287387227,30.856,9.16,19.128
390,250,28.908,0.4677863567178635,-0.039393146122207234,31.908,9.06,19.548
400,250,29.452,0.467009099551813,0.08561166120898184,33.588,8.832,20.048
410,250,28.376,0.46238736960811955,-0.07809451969472869,32.7,8.448,19.652
420,250,30.088,0.44725658069662333,0.011457061195332009,33.572,8.18,19.68
430,250,30.16,0.4555978779840848,0.2953413602637239,32.316,8.152,19.14
440,250,27.912,0.46651762682717113,-0.07460295379909967,28.4,7.476,17.04
450,250,27.116,0.4738592712789498,0.17212981214938616,26.976,7.292,16.048
460,250,28.124,0.4658062864457402,0.052587933318952645,29.82,8.62,17.856
470,250,27.524,0.4270350239790728,0.25694263068980766,30.32,8.016,18.26
480,250,30.268,0.42385463195453954,0.07410449041497141,33.316,8.916,20.376
490,250,30.048,0.4484046858359958,0.06563108876618491,33.092,8.972,20.524
500,250,30.06,0.4650011976047903,0.31239461594016604,34.96,8.76,20.936
