tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,15.044,0.35104174421696355,0.12301301115132057,7.168,3.86,5.66
20,250,17.944,0.3982576905929558,0.011663790851065501,12.532,5.572,8.992
30,250,21.744,0.4203841059602649,0.19459625226504637,17.592,6.364,12.148
40,250,25.756,0.43308898897344306,0.30392358890582893,23.316,7.364,15.344
50,250,29.964,0.44952022426912297,0.08409879161775445,30.684,8.368,19.036
60,250,34.0,0.45933741176470577,0.1522536526259284,37.22,8.896,21.872
70,250,34.348,0.47049679748456974,0.005460842180148723,40.208,8.976,22.836
80,250,32.072,0.4768889997505612,0.07252691198113928,34.352,8.064,19.508
90,250,27.724,0.4407808397056703,-0.06703101003815286,29.756,7.764,17.188
100,250,25.896,0.4412616620327463,0.15262122987773527,26.936,7.7,16.712
110,250,25.984,0.4697758620689656,0.060669289145426374,29.144,8.752,18.06
120,250,26.124,0.47194426580921767,-0.009491472416738604,27.644,8.216,16.872
130,250,28.696,0.46093783105659325,0.35163021011896334,29.98,8.416,18.236
140,250,31.128,0.47939861218195845,0.19243286809527937,34.232,9.016,20.664
150,250,31.084,0.4835182087247458,0.062168304281301434,33.6,8.548,20.02
160,250,30.232,0.46479386080973795,-0.056584923437838615,34.272,8.532,20.416
170,250,29.216,0.47718181818181815,0.07332540599255641,33.012,8.144,19.704
180,250,27.996,0.4688972710387198,0.41182011691516385,30.592,8.088,18.904
190,250,27.34,0.4567075347476226,-0.04201715280540857,30.272,8.104,18.456
200,250,27.752,0.45621677716921294,0.1635887133888552,30.296,8.232,18.492
210,250,29.336,0.4530319061903463,0.47960204703947695,31.712,8.108,19.136
220,250,26.616,0.4777228734595731,0.14631563909906303,30.936,8.148,18.412
230,250,27.244,0.4681045367787402,0.1314322120916346,31.052,7.72,18.18
240,250,29.068,0.4911886610705931,0.23530584812211935,34.208,8.4,19.896
250,250,28.32,0.4739457627118644,0.11106635375961606,30.812,7.392,18.316
260,250,30.064,0.46417030335284726,0.24071620699574559,31.468,7.988,18.768
270,250,29.24,0.4727277701778385,0.1731305978356744,29.188,8.06,17.756
280,250,29.58,0.47920108181203513,0.013687611132351911,29.892,8.124,18.644
290,250,30.88,0.4873937823834198,0.08810521583630526,32.056,8.688,19.36
300,250,31.152,0.45875192604006165,0.017271384334402298,30.692,8.156,18.068
310,250,31.568,0.4571758743030918,0.11235883022688614,32.328,8.448,18.984
320,250,30.692,0.4350115991137755,0.044730059979942664,31.976,8.256,18.624
330,250,31.148,0.45573442917683327,0.061335817130013265,33.608,9.2,19.776
340,250,32.804,0.4353171564443361,0.15067723803675184,34.032,8.94,19.644
350,250,31.636,0.44390592995321776,0.10318355013957299,34.3,9.216,20.52
360,250,32.876,0.47178050857768583,-0.03629838639244506,35.148,8.976,20.868
370,250,30.052,0.44883322241448154,0.24092310730220753,32.408,8.288,19.552
380,250,30.652,0.4781840010439775,-0.03612708162264613,31.096,8.0,18.612
390,250,29.992,0.49015844225126703,0.037520956461176806,31.94,8.18,19.072
400,250,29.872,0.46931976432779865,0.0062688069055716125,31.5,7.948,19.068
410,250,29.272,0.4724001093194863,0.080229355394123,31.14,7.928,18.484
420,250,29.336,0.4586430324515953,0.04661362056737095,31.932,8.284,19.012
430,250,27.692,0.4564443160479561,0.2009187177355996,31.652,8.692,19.184
440,250,29.156,0.45345314858005215,0.23755564167173643,33.56,8.964,20.664
450,250,31.076,0.44631072210065637,0.004807263008061582,34.316,9.076,21.312
460,250,30.508,0.4661256063983217,-0.06026378229574631,31.48,8.584,19.852
470,250,28.156,0.46383690865179705,0.13247622257252484,29.372,8.484,18.536
480,250,28.476,0.4778519454979633,0.18864033956285042,30.824,8.588,18.892
490,250,28.644,0.4584214495182237,0.23490191094776444,29.0,8.252,17.968
500,250,26.512,0.46987447193723586,0.12225392382483813,30.36,7.992,18.424
