tick,population,mean_wealth,gini,moran_i,mean_age,avg_displacement,avg_exploration
10,250,17.06,0.3288300117233294,0.17170906977791062,8.48,4.832,6.432
20,250,24.132,0.3824465440079563,0.11126183518213265,15.628,6.936,11.196
30,250,32.528,0.39153762911952783,0.18059470062891989,22.488,7.912,15.364
40,250,41.136,0.39814546868922607,-0.00569068097834453,30.748,9.216,20.492
50,250,49.912,0.40664080782176626,0.02744997339821999,39.76,9.612,25.004
60,250,58.548,0.41271326091412175,0.12599505157834257,48.336,10.104,29.524
70,250,60.284,0.4571962046314113,0.08122714430926158,49.632,9.512,29.152
80,250,54.068,0.5072838647628912,0.12621758201229571,46.116,8.616,27.04
90,250,47.368,0.5351035298091538,0.09480585931939825,37.8,7.416,21.672
100,250,36.448,0.5073924495171203,-0.04827064298591262,27.484,6.632,16.144
110,250,36.82,0.49930385659967413,-0.03910358912327683,27.152,6.892,16.876
120,250,40.232,0.47590216742891234,0.03882471752416279,30.364,7.88,19.076
130,250,44.02,0.4661172194457064,0.1446148726043924,34.716,8.304,21.436
140,250,48.5,0.47589311340206186,0.05821806140351838,40.476,8.612,24.136
150,250,51.16,0.46966942924159505,0.10988094363911442,44.24,8.912,25.796
160,250,50.604,0.48297494269227736,0.17722884817089243,42.22,8.212,24.096
170,250,46.728,0.5093456599897277,0.12290451553287636,38.776,7.372,21.832
180,250,45.152,0.5086109142452162,0.05186502043648824,36.576,7.464,21.004
190,250,43.312,0.5161521980051718,0.2707033823630264,35.088,7.276,20.84
200,250,41.812,0.5078867310819861,0.19393575633912905,32.596,6.964,19.572
210,250,40.24,0.49942504970178936,0.441942177147869,33.432,7.212,19.54
220,250,40.42,0.48668461157842646,0.14167857045249183,34.58,7.344,19.976
230,250,40.536,0.49310597986974547,0.08818798989884953,36.944,7.876,21.264
240,250,42.528,0.48400827689992476,-0.05344572646380646,40.78,8.12,23.004
250,250,42.568,0.5083781244127044,0.07072185753997334,41.204,8.456,23.224
260,250,42.816,0.5084798206278027,0.10755108438492535,38.768,8.408,22.384
270,250,40.424,0.5128470215713437,0.08785585564142903,35.724,7.772,20.796
280,250,40.348,0.5092459601467234,0.12754499635962768,33.884,7.784,19.976
290,250,42.256,0.5022014388489209,0.09643860879101848,35.404,8.216,21.168
300,250,43.16,0.49696830398517156,0.08572687371698633,34.464,8.752,21.356
310,250,45.644,0.48381070896503364,0.13145885227587112,35.656,8.748,22.54
320,250,45.924,0.4593143454402926,0.04497058289411539,38.58,8.856,23.7
330,250,47.068,0.4610809892071046,0.17139777533748649,40.52,9.024,24.752
340,250,46.284,0.48368196352951354,0.26662274225634885,40.424,8.616,23.984
350,250,46.148,0.4912746814596516,0.04737504825434517,38.304,8.26,23.264
360,250,45.06,0.496999556147359,0.1059675378061553,35.82,7.808,20.956
370,250,43.132,0.5017301307613837,0.04069612199201445,33.412,7.6,19.628
380,250,42.184,0.5012046273468613,0.0835077489603898,33.892,7.648,20.116
390,250,42.912,0.49056524981357197,0.11744019360634317,35.612,8.1,21.66
400,250,45.356,0.504484346062263,0.15786426993688873,37.644,8.268,22.528
410,250,44.012,0.5070446241934019,0.276632513197183,36.004,8.308,21.984
420,250,45.84,0.5037556719022687,0.10511198287195267,39.892,8.824,23.764
430,250,45.592,0.5112546060712406,0.25729672892252325,40.376,7.996,22.568
440,250,41.732,0.4993850282756638,0.12689160312955985,36.536,8.16,20.824
450,250,41.136,0.5019789964994166,-0.0665650093330544,35.084,8.132,20.492
460,250,38.736,0.4857257331681124,-0.02042796451843334,32.96,7.408,19.368
470,250,43.332,0.49715535862641924,-0.007469814656466949,37.352,8.152,21.38
480,250,45.228,0.486563367825241,0.20040195495793273,36.436,8.044,21.336
490,250,45.98,0.4836193127446715,-0.006845010437044214,35.26,7.884,21.652
500,250,46.82,0.49570098248611694,0.1241688845838481,36.508,7.64,21.72
